Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Date,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-18,2007,2,18,2007-02-18,,4.8,,-5.7,,-0.5,,18.5,,0,,0,T,0,,0,T,0,T,27,E,74,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-19,2007,2,19,2007-02-19,,3.9,,-8.6,,-2.4,,20.4,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-20,2007,2,20,2007-02-20,,3.9,,-7.8,,-2,,20,,0,,0,,0,T,0,T,0,T,1,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-21,2007,2,21,2007-02-21,,2.7,,-8.4,,-2.9,,20.9,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-22,2007,2,22,2007-02-22,,-5,,-15.4,,-10.2,,28.2,,0,,0,,1.2,,0.4,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-23,2007,2,23,2007-02-23,,-0.6,,-11.1,,-5.9,,23.9,,0,,0,,0,T,0,T,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-24,2007,2,24,2007-02-24,,0.5,,-14.2,,-6.9,,24.9,,0,,0,,0,,0,,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-25,2007,2,25,2007-02-25,,-2.1,,-12.6,,-7.4,,25.4,,0,,0,,0.4,,0.4,,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-26,2007,2,26,2007-02-26,,-5.3,,-11.8,,-8.6,,26.6,,0,,0,,1.6,,1.2,,2,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-27,2007,2,27,2007-02-27,,-9.9,,-14.3,,-12.1,,30.1,,0,,0,,2.4,,1,,3,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-28,2007,2,28,2007-02-28,,-8.5,,-12.5,,-10.5,,28.5,,0,,0,,5,,2.2,,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-01,2007,3,1,2007-03-01,,-8.7,,-12.4,,-10.6,,28.6,,0,,0,,3.8,,1.2,,8,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-02,2007,3,2,2007-03-02,,-7.3,,-11.4,,-9.4,,27.4,,0,,0,,0,T,0,T,11,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-03,2007,3,3,2007-03-03,,8.4,,-11.1,,-1.4,,19.4,,0,,0,,0,,0,,11,,27,E,56,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-04,2007,3,4,2007-03-04,,8.8,,-4.7,,2.1,,15.9,,0,,0,,0,,0,,0,T,26,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-05,2007,3,5,2007-03-05,,6.3,,-7.7,,-0.7,,18.7,,0,,0,,0,,0,,0,T,,,,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-06,2007,3,6,2007-03-06,,9.2,,-6.9,,1.2,,16.8,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-07,2007,3,7,2007-03-07,,14.9,,-1.3,,6.8,,11.2,,0,,0,,0,,0,,0,T,26,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-08,2007,3,8,2007-03-08,,7.6,,-0.6,,3.5,,14.5,,0,,0,,0,,0,,0,T,26,E,59,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-09,2007,3,9,2007-03-09,,10.1,,-1.3,,4.4,,13.6,,0,,0,,0,,0,,0,,26,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-10,2007,3,10,2007-03-10,,13,,-3.5,,4.8,,13.2,,0,,0,,0,,0,,0,,28,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-11,2007,3,11,2007-03-11,,16.2,,1.3,,8.8,,9.2,,0,,0,,0,,0,,0,,25,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-12,2007,3,12,2007-03-12,,15.9,,-3.9,,6,,12,,0,,0.4,,3.4,,2.2,,0,,24,E,74,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-13,2007,3,13,2007-03-13,,0.2,,-9.7,,-4.8,,22.8,,0,,0,,5.4,,2.8,,6,,21,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-14,2007,3,14,2007-03-14,,0.3,,-9.7,,-4.7,,22.7,,0,,0,,0.4,,0.6,,8,,33,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-15,2007,3,15,2007-03-15,,1.4,,-13.1,,-5.9,,23.9,,0,,0,,0,T,0,T,9,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-16,2007,3,16,2007-03-16,,4.4,,-5.2,,-0.4,,18.4,,0,,0,,0,,0,,9,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-17,2007,3,17,2007-03-17,,15.5,,-2.4,,6.6,,11.4,,0,,0,,0,,0,,4,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-18,2007,3,18,2007-03-18,,8.6,,-7,,0.8,,17.2,,0,,0,T,0.6,,0.6,,0,T,35,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-19,2007,3,19,2007-03-19,,3.8,,-7,,-1.6,,19.6,,0,,0,,0.2,,0.2,,1,,16,E,44,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-20,2007,3,20,2007-03-20,,9.2,,-4.9,,2.2,,15.8,,0,,0,,2.2,,1.6,,0,T,35,E,67,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-21,2007,3,21,2007-03-21,,4.8,,-6.2,,-0.7,,18.7,,0,,0,,5,,2.6,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-22,2007,3,22,2007-03-22,,12,,0.9,,6.5,,11.5,,0,,0,,0,,0,,0,T,28,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-23,2007,3,23,2007-03-23,,15.4,,0,,7.7,,10.3,,0,,0,,0,,0,,0,,20,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-24,2007,3,24,2007-03-24,,16.6,,1.1,,8.9,,9.1,,0,,0,,0,,0,,0,,25,E,39,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-25,2007,3,25,2007-03-25,,8.5,,-1.5,,3.5,,14.5,,0,,0,T,0,,0,T,0,,1,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-26,2007,3,26,2007-03-26,,9.6,,-5.3,,2.2,,15.8,,0,,0,,0,,0,,0,,,,,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-27,2007,3,27,2007-03-27,,1.5,,-2.9,,-0.7,,18.7,,0,,0,,10.5,,8,,0,,33,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-28,2007,3,28,2007-03-28,,3.2,,-4.2,,-0.5,,18.5,,0,,0,,0,,0,,6,,22,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-29,2007,3,29,2007-03-29,,13.6,,-3.7,,5,,13,,0,,0,,0,,0,,4,,17,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-30,2007,3,30,2007-03-30,,17,,-1.9,,7.6,,10.4,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-31,2007,3,31,2007-03-31,,5.2,,-1.1,,2.1,,15.9,,0,,0,,0,T,0,T,0,,36,E,46,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-01,2007,4,1,2007-04-01,,-0.6,,-8,,-4.3,,22.3,,0,,0,,4.8,,3,,4,,2,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-02,2007,4,2,2007-04-02,,-7.3,,-10.1,,-8.7,,26.7,,0,,0,,3.2,,1.8,,5,,34,E,39,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-03,2007,4,3,2007-04-03,,-6.1,,-9.8,,-8,,26,,0,,0,,5,,2,,8,,33,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-04,2007,4,4,2007-04-04,,-5,,-9.4,,-7.2,,25.2,,0,,0,,0.4,,0.2,,9,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-05,2007,4,5,2007-04-05,,-3.2,,-5.9,,-4.6,,22.6,,0,,0,,1.2,,0.4,,7,,13,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-06,2007,4,6,2007-04-06,,-2.5,,-8.1,,-5.3,,23.3,,0,,0,,0.4,,0.4,,5,,15,E,46,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-07,2007,4,7,2007-04-07,,2.5,,-4.9,,-1.2,,19.2,,0,,0,,0,,0,,4,,16,E,41,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-08,2007,4,8,2007-04-08,,12.5,,-4.1,,4.2,,13.8,,0,,0,,0,,0,,2,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-09,2007,4,9,2007-04-09,,5.8,,-2.2,,1.8,,16.2,,0,,10.2,,0,,10.2,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-10,2007,4,10,2007-04-10,,2.3,,-0.4,,1,,17,,0,,4,,4.8,,9.4,,1,,1,E,37,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-11,2007,4,11,2007-04-11,,6.9,,-1.6,,2.7,,15.3,,0,,0,,0.2,,0.2,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-12,2007,4,12,2007-04-12,,11.8,,-6,,2.9,,15.1,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-13,2007,4,13,2007-04-13,,16,,-1.7,,7.2,,10.8,,0,,0,,0,,0,,0,,27,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-14,2007,4,14,2007-04-14,,17.5,,4.7,,11.1,,6.9,,0,,0,,0,,0,,0,,28,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-15,2007,4,15,2007-04-15,,11.1,,0.2,,5.7,,12.3,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-16,2007,4,16,2007-04-16,,16.1,,-1.7,,7.2,,10.8,,0,,0,,0,,0,,0,,21,E,41,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-17,2007,4,17,2007-04-17,,14.8,,0.5,,7.7,,10.3,,0,,0,,0,,0,,0,,33,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-18,2007,4,18,2007-04-18,,3.2,,0,,1.6,,16.4,,0,,0,T,4.2,,4.2,,0,,35,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-19,2007,4,19,2007-04-19,,3,,-0.3,,1.4,,16.6,,0,,0,T,5.8,,6.2,,3,,36,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-20,2007,4,20,2007-04-20,,0.6,,-1.3,,-0.4,,18.4,,0,,0,,10.8,,6.2,,6,,34,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-21,2007,4,21,2007-04-21,,7.6,,-1.7,,3,,15,,0,,0,,1.4,,1.4,,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-22,2007,4,22,2007-04-22,,7.2,,-1,,3.1,,14.9,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-23,2007,4,23,2007-04-23,,15.6,,1.4,,8.5,,9.5,,0,,0,,0,,0,,0,,8,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-24,2007,4,24,2007-04-24,,19.1,,0.3,,9.7,,8.3,,0,,0,,0,,0,,0,,27,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-25,2007,4,25,2007-04-25,,12.9,,1.9,,7.4,,10.6,,0,,0,T,0,,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-26,2007,4,26,2007-04-26,,15.8,,-0.3,,7.8,,10.2,,0,,0,,0,,0,,0,,26,E,52,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-27,2007,4,27,2007-04-27,,18.7,,2.9,,10.8,,7.2,,0,,0,,0,,0,,0,,21,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-28,2007,4,28,2007-04-28,,13.7,,2.1,,7.9,,10.1,,0,,0,,0,,0,,0,,3,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-29,2007,4,29,2007-04-29,,15.9,,1.5,,8.7,,9.3,,0,,0.8,,0,,0.8,,0,,31,E,61,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-04-30,2007,4,30,2007-04-30,,12.9,,-5.4,,3.8,,14.2,,0,,0,,0,,0,,0,,16,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-01,2007,5,1,2007-05-01,,16.4,,3.7,,10.1,,7.9,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-02,2007,5,2,2007-05-02,,14,,3.2,,8.6,,9.4,,0,,1,,0,,1,,0,,36,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-03,2007,5,3,2007-05-03,,6.8,,1.4,,4.1,,13.9,,0,,37,,0,T,37,,0,,36,E,56,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-04,2007,5,4,2007-05-04,,7.1,,3.1,,5.1,,12.9,,0,,8,,0,,8,,0,,31,E,37,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-05,2007,5,5,2007-05-05,,14.7,,3,,8.9,,9.1,,0,,0,,0,,0,,0,,27,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-06,2007,5,6,2007-05-06,,20,,2.1,,11.1,,6.9,,0,,0,,0,,0,,0,,27,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-07,2007,5,7,2007-05-07,,20.5,,9,,14.8,,3.2,,0,,0,,0,,0,,0,,17,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-08,2007,5,8,2007-05-08,,24.7,,5.8,,15.3,,2.7,,0,,0,,0,,0,,0,,24,E,46,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-09,2007,5,9,2007-05-09,,13.5,,5.3,,9.4,,8.6,,0,,0,,0,,0,,0,,34,E,59,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-10,2007,5,10,2007-05-10,,16,,2.3,,9.2,,8.8,,0,,0,,0,,0,,0,,15,E,37,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-11,2007,5,11,2007-05-11,,22.3,,0.7,,11.5,,6.5,,0,,0,,0,,0,,0,,28,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-12,2007,5,12,2007-05-12,,23.7,,4.9,,14.3,,3.7,,0,,0,,0,,0,,0,,2,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-13,2007,5,13,2007-05-13,,9.7,,3.8,,6.8,,11.2,,0,,3.6,,0,,3.6,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-14,2007,5,14,2007-05-14,,14.2,,0,,7.1,,10.9,,0,,1.2,,0,,1.2,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-15,2007,5,15,2007-05-15,,19.3,,1.1,,10.2,,7.8,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-16,2007,5,16,2007-05-16,,25,,4.8,,14.9,,3.1,,0,,0,,0,,0,,0,,27,E,37,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-17,2007,5,17,2007-05-17,,23.2,,6.7,,15,,3,,0,,0,,0,,0,,0,,34,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-18,2007,5,18,2007-05-18,,12.3,,6.3,,9.3,,8.7,,0,,0,,0,,0,,0,,12,E,44,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-19,2007,5,19,2007-05-19,,19.9,,3.7,,11.8,,6.2,,0,,0,T,0,,0,T,0,,36,E,56,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-20,2007,5,20,2007-05-20,,13.1,,4.2,,8.7,,9.3,,0,,11,,0,,11,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-21,2007,5,21,2007-05-21,,8.8,,0.6,,4.7,,13.3,,0,,12,,3,,15.6,,0,T,36,E,41,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-22,2007,5,22,2007-05-22,,13.9,,2.1,,8,,10,,0,,0,,0,,0,,0,,1,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-23,2007,5,23,2007-05-23,,6.9,,0.2,,3.6,,14.4,,0,,3.6,,0.4,,4.4,,0,,35,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-24,2007,5,24,2007-05-24,,3.3,,-0.2,,1.6,,16.4,,0,,1.4,,8.4,,8.2,,7,,34,E,39,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-05-25,2007,5,25,2007-05-25,,16.1,,3,,9.6,,8.4,,0,,0.6,,0,,0.6,,0,,,,<31,
